slug,current_position,current_ctr,impressions,top_query,current_title,current_title_length,title_issues,current_meta_desc,meta_desc_length,meta_issues,recommended_new_title,recommended_new_meta_desc,priority
is-manipal-university-jaipur-fake-or-legit-2026,5.1,0.64,7980,is manipal university jaipur fake or legit,Is Manipal University Jaipur Fake or Legit? (2026 Proof),56,ok,"Manipal University Jaipur (MUJ) is NOT fake. UGC-recognised since 2011, NAAC A+, NIRF Management rank 81. See accreditations, degree validity, and red flags.",157,ok,"Is Manipal University Jaipur Fake Or Legit 2026: Fees, Colleges a","Is manipal university jaipur fake or legit 2026: UGC-DEB approved universities compared on fees, curriculum and career outcomes. Verified data, no paid rankings",1
amity-online-mba-review-2026,7.8,0.19,5215,amity online mba,"Amity Online MBA 2026: Fees, Review, 19 Specializations & Honest Assessment",75,too long (75 chars),"Amity Online MBA fees 2026: ₹2,07,000 one-time (saving ₹18,000 off list price). NAAC A+, NIRF Mgmt 49. 19 specialisations, EMI from ₹8,906/month.",145,ok,"Amity Online MBA Review 2026: Fees, NIRF Rank and Honest Verdict","Amity Online MBA review 2026: NAAC A+, ₹1.75L total fee, 28+ specialisations. Honest verdict on placement, accreditation and who should apply.",2
smu-online-mba-review,7.7,0.08,2355,smu online mba,"Sikkim Manipal University Online MBA 2026: Fees, Dual Specialization, Syllabus and Honest Review",96,too long (96 chars),"Sikkim Manipal University (SMU) Online MBA fees 2026: ₹1,20,000 total. NAAC A+ (3.28), UGC-DEB approved, dual specialisation. See eligibility and admission.",156,ok,"SMU Online MBA Review 2026: Fees, Accreditation and Career Outcomes","SMU (Sikkim Manipal University) online MBA review 2026: ₹1.26L fee, NAAC A+, UGC-DEB approved. Honest rating on accreditation and career outcomes.",3
toughest-exams-india-world-2026,7.2,0.25,2447,toughest exams india world 2026,,0,too short (0 chars); no year,,0,too short (0 chars),Toughest Exams in India and World 2026: Ranked by Difficulty,"Toughest exams in India and world 2026: UPSC, JEE Advanced, CA Final, GATE ranked by pass rate, preparation time and career value.",3
career-after-bcom-jobs-salary-courses-2026,7.7,0.0,1141,career after bcom,"Career After B.Com 2026: Top 10 Courses, Jobs, Salary and CA vs MBA Comparison",78,too long (78 chars),"Career after B.Com in India 2026 - top 10 courses with fees, government jobs list, entry to senior salary data, and honest CA vs MBA comparison for commerce graduates.",167,ok,"Career After B.Com 2026: Top Jobs, Salary and Best Courses","Career after B.Com 2026: top jobs (CA, MBA, banking), salary ₹3L to ₹18L, best courses and which stream leads to the fastest career growth.",4
mba-pharmaceutical-management-online-india-2026,7.2,0.14,735,mba pharmaceutical management online india 2026,MBA Pharmaceutical Management Online 2026: Fees & Take,54,ok,"MBA Pharmaceutical Management online 2026: 3 UGC-DEB universities compared. Shoolini ₹1.3L net, Chitkara ₹2L, MAHE ₹2.92L. Fees, syllabus, salary, careers.",155,ok,Online MBA Pharma Management India 2026: Fees and Career Scope,"Online MBA Pharmaceutical Management India 2026: fees, UGC-DEB approved universities, career scope in pharma, health and NBFC sectors.",4
best-mba-specialization-india-2026,7.4,0.16,635,best mba specialization,Best MBA Specialization in India 2026: Which to Choose for Maximum Salary?,74,too long (74 chars),"Complete guide to best MBA specialization in India 2026. Compare MBA Finance vs Marketing vs Data Science vs HR by salary, demand, difficulty, and career outcomes.",163,ok,"Best MBA Specialisation in India 2026: Salary, Jobs by Spec","Best MBA specialisation India 2026: Finance, Analytics, HR, Marketing compared by salary, job demand and career growth. Honest guide to picking the right spec.",4
career-after-12th-commerce-courses-jobs-2026,8.0,0.17,601,career after 12th commerce,Career After 12th Commerce 2026: The Exam Path vs Degree Path Decision,70,too long (70 chars),"Career after 12th commerce 2026: CA vs BBA vs ACCA vs CS decision framework, Maths vs no-Maths impact, real 5-year salary outcomes by path.",139,ok,"Career After 12th Commerce 2026: Best Courses, Jobs and Salary","Career after 12th Commerce 2026: best courses (B.Com, BBA, CA), top jobs, salary from ₹3L to ₹15L and honest guidance on which path to pick.",5
mba-or-mca-which-is-better-2026,8.0,0.33,1219,mba or mca which is better 2026,MBA or MCA Which Is Better 2026: The Career Trajectory and Salary Curve Decoded,79,too long (79 chars),"MBA or MCA 2026: management vs technical career, Rs 6-25 LPA vs Rs 4-30 LPA salary curve, MCA plus MBA combo, online options compared.",134,ok,"MBA or MCA: Which is Better in 2026? Salary, Scope and Verdict","MBA or MCA in 2026: salary comparison, career scope, eligibility differences and an honest verdict on which degree suits your profile.",5
online-mba-business-data-analytics-india-2026,7.5,0.0,483,online mba business data analytics india 2026,Online MBA in Business Analytics in India 2026: 16+ Unis,56,ok,Online MBA In Business Analytics In India 2026: Online MBA Business Analytics & Data Analytics India 2026: 16+ UGC-DEB universities. Fees ₹76K (Galgotias) to ₹3.1...,165,ok,Online MBA Business Analytics India 2026: 10+ Universities Compared,"Online MBA Business Analytics India 2026: 10+ UGC-DEB approved universities compared on fees, curriculum, tools taught and career outcomes.",5
noida-international-university-online-mba-review,7.5,0.24,418,noida international university online mba,"Noida International University Online MBA 2026: Fees, 10 Specializations, Syllabus and Honest Review",100,too long (100 chars),"NIU Online MBA at Rs. 88,500 after early-bird discount. NAAC A+, Greater Noida. 10 specializations, SPSS training, detailed healthcare & agri syllabi and honest review.",168,ok,"NIU Online MBA Review 2026: Fees, Accreditation and Career Scope","Noida international university online mba 2026: UGC-DEB approved universities compared on fees, curriculum and career outcomes. Verified data, no paid rankings.",5
top-executive-mba-programs-india-2026,5.9,0.25,404,top 10 executive mba programs in india,Top Executive MBA Programs India 2026: The 4-Tier Picker Nobody Publishes,73,too long (73 chars),"Top Executive MBA programs India 2026: tier-by-tier picker (Rs 33L IIM B EPGP to Rs 1.5L online), sector fit, real 2026 fees, eligibility filters.",146,ok,"Top Executive MBA Programs India 2026: Fees, Colleges Compared","Top 10 executive mba programs in india 2026: UGC-DEB approved universities compared on fees, curriculum and career outcomes. Verified data, no paid rankings.",5
online-bba-in-india-2026,5.6,0.0,376,online bba in india 2026,"Online BBA in India 2026: Top Colleges, Fees and Career Guide",61,ok,"Online BBA in India 2026: top colleges, fees from ₹1.2L to ₹2.4L, career scope and salary data. Complete guide to UGC-DEB approved online BBA degree.",149,ok,"Online BBA in India 2026: Top Colleges, Fees and Career Guide","Online BBA in India 2026: top colleges (NMIMS, MAHE, Symbiosis), fees ₹1.2L to ₹2.4L, career scope and complete UGC-DEB approved programme guide.",5
ignou-online-mba-review-2026,8.2,0.17,579,online mba ignou,IGNOU Online MBA: Is It Still Worth It in 2026?,47,ok,"IGNOU Online MBA fees 2026: ₹58,000 total (₹14,000 × 3 semesters + ₹16,000 for semester 3). AICTE recognised, UGC funded, India\'s most affordable online MBA.",158,ok,"IGNOU Online MBA Review 2026: Fees, Accreditation and Honest Rating","IGNOU online MBA review 2026: ₹36,500 total fee, UGC-DEB approved. Honest verdict on curriculum quality, accreditation and who it is best suited for.",5
mba-after-bsc-is-it-good-2026,6.6,0.33,307,mba after bsc,MBA After BSc 2026: The Science-Plus-Management Stack and 10-Year Curve,71,too long (71 chars),"MBA after BSc India 2026: BSc CS to Data Science Rs 10-18L, BSc Maths to Analytics, BSc Bio to Healthcare Mgmt. Real salary curve, MBA vs MSc decision.",151,ok,MBA After B.Sc: Is it Worth it in 2026? Salary and Career Facts,"MBA after B.Sc: is it worth it in 2026? Salary data, career paths for science graduates, top online MBA options and an honest verdict.",5
galgotias-online-mba-review,8.0,0.31,321,galgotias online mba,"Galgotias Online MBA 2026: Fees, Syllabus, Specializations and Honest Review",76,too long (76 chars),"Galgotias University Online MBA at Rs. 76,200 total. NAAC A+, Greater Noida. Full fee breakdown, 7 specializations, semester-wise syllabus and honest review for 2026.",166,ok,"Galgotias Online MBA Review 2026: Fees, Accreditation and Rating","Galgotias online mba 2026: UGC-DEB approved universities compared on fees, curriculum and career outcomes. Verified data, no paid rankings.",5
career-after-12th-science-courses-jobs-2026,8.8,0.21,479,career after 12th science,"Career After 12th Science 2026: Top 15 Options, BCA vs B.Sc vs B.Tech and Salary Data",85,too long (85 chars),"Career after 12th science 2026 - top 15 options beyond engineering and medicine, BCA vs B.Sc vs B.Tech comparison, average salary data, and online degree options for PCM/PCB students.",183,too long (183 chars),"Career After 12th Science 2026: Best Courses, Jobs and Salary","Career after 12th science 2026: UGC-DEB approved universities compared on fees, curriculum and career outcomes. Verified data, no paid rankings.",5
mba-hr-management-online-india-2026,5.3,0.0,223,mba hr management online india 2026,MBA HR Management Online India 2026: 25+ Unis Compared,54,ok,"MBA HR Management Online 2026: MBA in HR Management online 2026: 25+ UGC-DEB universities compared. Fees ₹76K (Galgotias) to ₹2.92L (MAHE). NMIMS, Symbiosis, Amit...",165,ok,"Online MBA HR Management India 2026: Fees, Colleges and Career","Online MBA HR Management India 2026: fees ₹65K to ₹3.7L, UGC-DEB approved universities compared. Career scope and salary data for HR professionals.",5
imt-ghaziabad-online-mba-review-2026,8.6,0.0,343,imt ghaziabad online mba review 2026,IMT Ghaziabad Online MBA Review 2026: CDL PGDM Fees & Take,58,ok,"Imt Ghaziabad Online MBA 2026: IMT Ghaziabad CDL Online MBA 2026 review: ₹2.20L AICTE PGDM (not UGC-DEB approved MBA). 6 specs, 45-year legacy brand from Delhi NC...",165,ok,"IMT Ghaziabad Online MBA Review 2026: Fees, Accreditation, Rating","Imt ghaziabad online mba review 2026 2026: UGC-DEB approved universities compared on fees, curriculum and career outcomes. Verified data, no paid rankings.",5
online-mba-pune-university-2026,8.8,0.0,209,online MBA Pune university,"Online MBA in Pune 2026: SPPU, Symbiosis SCDL and Top Programs Compared",71,too long (71 chars),"Online MBA Pune university 2026: UGC-approved programs, fees, Symbiosis SSODL, Parul, and top options for Pune-based professionals.",131,ok,"Online MBA Pune University 2026: SPPU, MAHE, Symbiosis Compared","Online mba pune university 2026: UGC-DEB approved universities compared on fees, curriculum and career outcomes. Verified data, no paid rankings.",5
