slug,in_sitemap,published_date,days_since_publish,inbound_link_count,category,recommended_action,priority
amity-online-mba-hr-worth-it,yes,2025-03-25,428,0,B,Zero inbound links. Inject 3+ links from related published posts.,1
symbiosis-online-mba-review-2026,yes,2026-03-29,59,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
nmims-online-mba-review-2026,yes,2026-04-24,33,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-manipal-mba-review-2026,yes,2026-03-29,59,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mahe-online-mba-review-2026,yes,2026-03-29,59,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
muj-online-mba-review-2026,yes,2026-03-29,59,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
career-after-mba-jobs-salary-scope-2026,yes,2026-04-23,34,6,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-fees-india-complete-guide-2026,yes,2026-04-04,53,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
iim-online-mba-india-2026,yes,2026-04-04,53,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
career-after-12th-arts-courses-jobs-2026,yes,2026-04-04,53,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-after-bca-is-it-good-career-2026,yes,2026-04-04,53,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
govt-jobs-after-mba-india-2026,yes,2026-04-04,53,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-without-entrance-exam-india-2026,yes,2026-04-05,52,9,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mat-exam-2026-eligibility-pattern-dates,yes,2026-04-04,53,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
cmat-exam-2026-guide-eligibility-pattern,yes,2026-04-04,53,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-entrance-exams-india-2026,yes,2026-04-04,53,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
ugc-deb-approved-universities-list-2026,yes,2026-04-04,53,17,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-vs-pgdm-online-india-2026,yes,2026-04-04,53,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-salary-india-2026,yes,2026-04-04,53,8,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-lpu-review-2026,yes,2026-04-04,53,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
distance-mba-kerala-programs-2026,yes,2026-04-04,53,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
distance-mba-bangalore-2026,yes,2026-04-01,56,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-delhi-ncr-2026,yes,2026-04-03,54,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-data-science-analytics-career-2026,yes,2026-04-04,53,4,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-for-freshers-india-2026,yes,2026-04-04,53,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-eligibility-criteria-india-2026,yes,2026-04-04,53,5,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-admission-process-india-2026,yes,2026-04-04,53,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-for-commerce-students-india-2026,yes,2026-04-04,53,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-scope-india-2026,yes,2026-04-04,53,7,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-vs-bba-which-is-better-2026,yes,2026-04-04,53,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-government-employees-india-2026,yes,2026-04-04,53,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-operations-management-career-2026,yes,2026-04-04,53,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-international-business-career-2026,yes,2026-04-04,53,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-digital-marketing-career-2026,yes,2026-04-04,53,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
distance-mba-chennai-2026,yes,2026-04-04,53,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
distance-mba-hyderabad-2026,yes,2026-04-04,53,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-ahmedabad-gujarat-2026,yes,2026-04-04,53,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
top-free-online-mba-courses-2026,yes,2026-04-04,53,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-executive-mba-india-2026,yes,2026-04-04,53,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-executive-mba-iim-2026,yes,2026-04-04,53,5,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
is-distance-mba-worth-it-india-2026,yes,2026-04-04,53,6,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
distance-mba-colleges-mumbai-2026,yes,2026-04-05,52,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
du-online-mba-delhi-university-2026,yes,2026-04-05,52,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-international-online-global-programs-2026,yes,2026-04-05,52,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
top-online-mba-india-2026,yes,2026-04-05,52,11,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
distance-mba-meaning-what-is-it-2026,yes,2026-04-05,52,5,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
ma-distance-learning-india-2026,yes,2026-04-05,52,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-courses-chennai-2026,yes,2026-04-05,52,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
top-correspondence-mba-colleges-india-2026,yes,2026-04-05,52,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
correspondence-mba-meaning-2026,yes,2026-04-05,52,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
icfai-online-mba-fees-2026,yes,2026-04-05,52,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
icfai-distance-mba-2026,yes,2026-04-05,52,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-fee-comparison-india-2026,yes,2026-04-05,52,6,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
jamia-hamdard-mba-2026,yes,2026-04-05,52,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
is-mba-post-graduation-india-2026,yes,2026-04-05,52,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
phd-full-form-doctorate-meaning-india,yes,2026-04-08,49,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
14-principles-of-management-henri-fayol,yes,2026-04-08,49,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
cat-exam-syllabus-2026-complete-guide,yes,2026-04-09,48,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
career-objective-for-fresher-resume-examples,yes,2026-04-09,48,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
best-computer-courses-after-12th-india-2026,yes,2026-04-09,48,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
courses-after-12th-science-complete-list-2026,yes,2026-04-09,48,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
iim-ranking-india-2026-all-iims-list,yes,2026-04-10,47,6,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
ias-officer-salary-india-2026-pay-scale-perks,yes,2026-04-10,47,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
cyber-security-salary-india-2026-career-guide,yes,2026-04-10,47,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
investment-banking-career-india-salary-qualification,yes,2026-04-10,47,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
arts-stream-jobs-career-options-salary-india,yes,2026-04-10,47,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
commerce-jobs-list-salary-india-2026,yes,2026-04-10,47,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
bsc-career-options-scope-salary-india-2026,yes,2026-04-10,47,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
gd-topics-for-mba-2026-with-answers,yes,2026-04-10,47,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
llm-course-duration-fees-scope-india-2026,yes,2026-04-10,47,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mca-course-india,yes,2026-04-11,46,4,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
amity-online-mca-fees-review,yes,2026-04-11,46,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
vignan-online-mba-review,yes,2026-04-11,46,5,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
dsu-online-mba-review,yes,2026-04-11,46,5,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
uu-doon-online-mba-review,yes,2026-04-12,45,4,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
arka-jain-online-mba-review,yes,2026-04-12,45,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
shoolini-online-mba-review,yes,2026-04-12,45,5,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
dy-patil-online-mba-review,yes,2026-04-12,45,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
chandigarh-university-online-mba-review,yes,2026-04-12,45,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
jaypee-jiit-online-mba-review,yes,2026-04-12,45,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mba-full-form-course-details-eligibility-fees-2026,yes,2026-04-26,31,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
bca-full-form-course-details-eligibility-fees-2026,yes,2026-04-26,31,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
bba-full-form-course-details-eligibility-fees-2026,yes,2026-04-26,31,2,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mca-full-form-course-details-eligibility-fees-2026,yes,2026-04-26,31,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
bcom-full-form-course-details-eligibility-fees-2026,yes,2026-04-26,31,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
btech-full-form-course-details-eligibility-fees-2026,yes,2026-04-26,31,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
bsc-full-form-course-details-eligibility-fees-2026,yes,2026-04-26,31,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
ma-full-form-course-details-eligibility-fees-2026,yes,2026-04-26,31,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
best-online-mba-colleges-india-2026,yes,2026-05-10,17,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
is-online-mba-valid-india-2026,yes,2026-05-10,17,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-with-placement-india-2026,yes,2026-05-10,17,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
amity-online-bba-fees-2026,yes,2026-05-04,23,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
amity-online-bba-review-2026,yes,2026-05-04,23,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
bits-pilani-online-mba-review-2026,yes,2026-05-04,23,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-aviation-management-india-2026,yes,2026-05-04,23,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-entrepreneurship-india-2026,yes,2026-05-04,23,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-event-management-india-2026,yes,2026-05-04,23,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-hospital-healthcare-management-india-2026,yes,2026-05-04,23,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-supply-chain-management-india-2026,yes,2026-05-04,23,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
upes-online-mba-review-2026,yes,2026-05-04,23,1,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
xlri-online-mba-review-2026,yes,2026-05-04,23,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
amrita-online-bba-review-2026,yes,2026-05-08,19,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
best-online-bba-colleges-india-2026,yes,2026-05-08,19,5,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
lpu-online-bba-review-2026,yes,2026-05-08,19,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
mahe-online-bba-review-2026,yes,2026-05-08,19,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
nmims-online-bba-review-2026,yes,2026-05-08,19,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-bba-fees-india-2026,yes,2026-05-08,19,5,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-bba-india-2026,yes,2026-05-08,19,5,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-fintech-india-2026,yes,2026-05-08,19,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-hospitality-management-india-2026,yes,2026-05-08,19,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-logistics-management-india-2026,yes,2026-05-08,19,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
online-mba-real-estate-management-india-2026,yes,2026-05-08,19,0,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
symbiosis-online-bba-review-2026,yes,2026-05-08,19,3,A,Recently imported. Submit URL to GSC/Bing for crawl. Add 2+ inbound links.,2
is-online-mba-worth-it-2026,yes,2026-03-27,61,15,C,Has 15 inbound link(s) but not ranking. Check content depth and keyword focus.,3
how-to-choose-online-mba-university-india-2026,yes,2026-03-27,61,2,C,Has 2 inbound link(s) but not ranking. Check content depth and keyword focus.,3
affordable-online-mba-india-2026,yes,2026-03-27,61,21,C,Has 21 inbound link(s) but not ranking. Check content depth and keyword focus.,3
online-mba-for-working-professionals-india,yes,2026-03-27,61,8,C,Has 8 inbound link(s) but not ranking. Check content depth and keyword focus.,3
is-online-degree-valid-india-2026,yes,2026-03-20,68,4,C,Has 4 inbound link(s) but not ranking. Check content depth and keyword focus.,3
mba-after-engineering-india-2026,yes,2026-03-22,66,3,C,Has 3 inbound link(s) but not ranking. Check content depth and keyword focus.,3
mba-finance-career-salary-scope-2026,yes,2026-03-24,64,6,C,Has 6 inbound link(s) but not ranking. Check content depth and keyword focus.,3
mba-hr-career-salary-scope-2026,yes,2026-03-26,62,0,B,Zero inbound links. Inject 3+ links from related published posts.,3
mba-marketing-career-salary-jobs-2026,yes,2026-03-28,60,1,C,Has 1 inbound link(s) but not ranking. Check content depth and keyword focus.,3
