slug,current_title,current_title_length,recommended_title,recommended_title_length,current_meta,recommended_meta,recommended_meta_length,gsc_top_query_for_this_url,gsc_query_imp,priority
is-manipal-university-jaipur-fake-or-legit-2026,"Is Manipal University Jaipur Fake or Legit? (2026 Proof)",56,"Is Manipal University Jaipur Fake or Legit? 2026",49,"Manipal University Jaipur (MUJ) is NOT fake. UGC-recognised since 2011, NAAC A+, NIRF Management rank 81. See accreditations, degree validity, and red flags.","Manipal University Jaipur is NOT fake. UGC-recognised since 2011, NAAC A+ accredited, NIRF Management rank 81. Degree validity confirmed, red flags checked.",156,is manipal university jaipur fake or legit,7980,1
amity-online-mba-review-2026,"Amity Online MBA 2026: Fees, Review, 19 Specializations & Honest Assessment",75,"Amity Online MBA Review 2026: Fees, NAAC A+ and Verdict",56,"Amity Online MBA fees 2026: ₹2,07,000 one-time (saving ₹18,000 off list price). NAAC A+, NIRF Mgmt 49. 19 specialisations, EMI from ₹8,906/month.","Amity Online MBA 2026: ₹2.07L one-time fee, NAAC A+, NIRF Mgmt rank 49, 19 specialisations. Honest verdict on placement support and who should apply.",153,amity online mba,5215,2
smu-online-mba-review,"Sikkim Manipal University Online MBA 2026: Fees, Dual Specialization, Syllabus and Honest Review",96,"SMU Online MBA Review 2026: Fees, NAAC A+ and Verdict",54,"Sikkim Manipal University (SMU) Online MBA fees 2026: ₹1,20,000 total. NAAC A+ (3.28), UGC-DEB approved, dual specialisation. See eligibility and admission.","SMU Online MBA 2026: ₹1.20L total fee, NAAC A+ (3.28), dual specialisation, UGC-DEB approved. Honest rating on accreditation, career outcomes and who this suits.",158,smu online mba,2355,3
toughest-exams-india-world-2026,"Toughest Exams in India and the World 2026: Real Pass Rates",60,"Toughest Exams India and World 2026: Pass Rates Ranked",54,"The toughest exams in India and the world in 2026: real pass rates, preparation timelines, and what makes each exam genuinely hard.","Toughest exams in India and world 2026: UPSC, JEE Advanced, CA Final and GATE ranked by pass rate, prep time and career value. Which exam demands the most?",155,toughest exams india world 2026,2447,3
career-after-bcom-jobs-salary-courses-2026,"Career After B.Com 2026: Top 10 Courses, Jobs, Salary and CA vs MBA Comparison",78,"Career After B.Com 2026: Top Jobs, Salary and Best Courses",58,"Career after B.Com in India 2026 - top 10 courses with fees, government jobs list, entry to senior salary data, and honest CA vs MBA comparison for commerce graduates.","Career after B.Com 2026: top jobs (CA, MBA, banking), salary ₹3L to ₹18L, best courses and which stream builds the fastest career growth for commerce graduates.",160,career after bcom,1141,4
mba-pharmaceutical-management-online-india-2026,MBA Pharmaceutical Management Online 2026: Fees & Take,54,"Online MBA Pharma Management India 2026: Fees, Scope",52,"MBA Pharmaceutical Management online 2026: 3 UGC-DEB universities compared. Shoolini ₹1.3L net, Chitkara ₹2L, MAHE ₹2.92L. Fees, syllabus, salary, careers.","Online MBA Pharmaceutical Management India 2026: Shoolini ₹1.3L, Chitkara ₹2L, MAHE ₹2.92L. All UGC-DEB approved. Career scope in pharma, health and NBFC sectors.",160,mba pharmaceutical management online india 2026,735,4
best-mba-specialization-india-2026,"Best MBA Specialization in India 2026: Which to Choose for Maximum Salary?",74,"Best MBA Specialisation in India 2026: Salary by Spec",53,"Complete guide to best MBA specialization in India 2026. Compare MBA Finance vs Marketing vs Data Science vs HR by salary, demand, difficulty, and career outcomes.","Best MBA specialisation in India 2026: Finance, Data Analytics, HR and Marketing compared by salary, job demand and career growth. Guide to picking the right spec.",160,best mba specialization,635,4
career-after-12th-commerce-courses-jobs-2026,Career After 12th Commerce 2026: The Exam Path vs Degree Path Decision,70,Career After 12th Commerce 2026: Courses and Salary,51,"Career after 12th commerce 2026: CA vs BBA vs ACCA vs CS decision framework, Maths vs no-Maths impact, real 5-year salary outcomes by path.","Career after 12th Commerce 2026: B.Com, BBA and CA paths compared by jobs, salary and scope. From ₹3L entry to ₹15L senior roles. Which path fits you best?",154,career after 12th commerce,601,5
mba-or-mca-which-is-better-2026,MBA or MCA Which Is Better 2026: The Career Trajectory and Salary Curve Decoded,79,"MBA or MCA: Which is Better 2026? Salary and Verdict",52,"MBA or MCA 2026: management vs technical career, Rs 6-25 LPA vs Rs 4-30 LPA salary curve, MCA plus MBA combo, online options compared.","MBA or MCA in 2026: salary comparison ₹6-25 LPA vs ₹4-30 LPA, career paths and eligibility. Honest verdict on which degree fits your profile and goals.",151,mba or mca which is better 2026,1219,5
online-mba-business-data-analytics-india-2026,Online MBA in Business Analytics in India 2026: 16+ Unis,56,Online MBA Business Analytics India 2026: Top Unis,50,"Online MBA In Business Analytics In India 2026: Online MBA Business Analytics & Data Analytics India 2026: 16+ UGC-DEB universities. Fees ₹76K (Galgotias) to ₹3.1L","Online MBA Business Analytics India 2026: top UGC-DEB universities compared on fees (₹76K to ₹3.1L), tools taught, curriculum depth and placement outcomes.",155,online mba business data analytics india 2026,483,5
noida-international-university-online-mba-review,"Noida International University Online MBA 2026: Fees, 10 Specializations, Syllabus and Honest Review",100,Noida International University Online MBA: 2026 Review,54,"NIU Online MBA at Rs. 88,500 after early-bird discount. NAAC A+, Greater Noida. 10 specializations, SPSS training, detailed healthcare & agri syllabi and honest review.","Noida International University online MBA 2026: ₹88,500 after early-bird discount, NAAC A+, Greater Noida, 10 specialisations with SPSS training. Honest verdict.",159,noida international university online mba,418,5
top-executive-mba-programs-india-2026,Top Executive MBA Programs India 2026: The 4-Tier Picker Nobody Publishes,73,Top Executive MBA Programs India 2026: Tiers and Fees,53,"Top Executive MBA programs India 2026: tier-by-tier picker (Rs 33L IIM B EPGP to Rs 1.5L online), sector fit, real 2026 fees, eligibility filters.","Top executive MBA programs India 2026: tier guide from IIM EPGP at ₹33L to online at ₹1.5L. Fees, eligibility and which tier fits your career stage.",149,top 10 executive mba programs in india,404,5
online-bba-in-india-2026,"Online BBA in India 2026: Top Colleges, Fees and Career Guide",61,Online BBA in India 2026: Top Colleges and Fees,48,"Online BBA in India 2026: top colleges, fees from ₹1.2L to ₹2.4L, career scope and salary data. Complete guide to UGC-DEB approved online BBA degree.","Online BBA in India 2026: top colleges (NMIMS, MAHE, Symbiosis), fees ₹1.2L to ₹2.4L, UGC-DEB approved programs, career scope and salary after graduation.",152,online bba in india 2026,376,5
ignou-online-mba-review-2026,IGNOU Online MBA: Is It Still Worth It in 2026?,47,IGNOU Online MBA Review 2026: Fees and Honest Rating,52,"IGNOU Online MBA fees 2026: ₹58,000 total (₹14,000 × 3 semesters + ₹16,000 for semester 3). AICTE recognised, UGC funded, India's most affordable online MBA.","IGNOU online MBA review 2026: ₹36,500 total fee, UGC-DEB and AICTE recognised, India's most affordable MBA. Honest verdict on curriculum quality and who this suits.",159,online mba ignou,579,5
mba-after-bsc-is-it-good-2026,MBA After BSc 2026: The Science-Plus-Management Stack and 10-Year Curve,71,"MBA After B.Sc: Is It Worth It in 2026? Career Facts",52,"MBA after BSc India 2026: BSc CS to Data Science Rs 10-18L, BSc Maths to Analytics, BSc Bio to Healthcare Mgmt. Real salary curve, MBA vs MSc decision.","MBA after B.Sc in 2026: BSc CS to Data Science (₹10-18L), BSc Bio to Healthcare Management. Real salary curve, MBA vs MSc decision and online MBA options.",152,mba after bsc,307,5
galgotias-online-mba-review,"Galgotias Online MBA 2026: Fees, Syllabus, Specializations and Honest Review",76,Galgotias Online MBA Review 2026: Fees and Rating,49,"Galgotias University Online MBA at Rs. 76,200 total. NAAC A+, Greater Noida. Full fee breakdown, 7 specializations, semester-wise syllabus and honest review for 2026.","Galgotias online MBA review 2026: ₹76,200 total fee, NAAC A+, Greater Noida, 7 specialisations. Honest verdict on value, curriculum and who this program suits best.",160,galgotias online mba,321,5
career-after-12th-science-courses-jobs-2026,"Career After 12th Science 2026: Top 15 Options, BCA vs B.Sc vs B.Tech and Salary Data",85,Career After 12th Science 2026: Best Courses Salary,50,"Career after 12th science 2026 - top 15 options beyond engineering and medicine, BCA vs B.Sc vs B.Tech comparison, average salary data, and online degree options for PCM/PCB students.","Career after 12th Science 2026: top 15 options for PCM and PCB students. BCA vs B.Sc vs B.Tech compared by salary, scope and career growth. Honest path guide.",157,career after 12th science,479,5
mba-hr-management-online-india-2026,MBA HR Management Online India 2026: 25+ Unis Compared,54,Online MBA HR Management India 2026: Fees Colleges,50,"MBA HR Management Online 2026: MBA in HR Management online 2026: 25+ UGC-DEB universities compared. Fees ₹76K (Galgotias) to ₹2.92L (MAHE). NMIMS, Symbiosis, Amity...","Online MBA HR Management India 2026: fees ₹65K to ₹3.7L, 25+ UGC-DEB approved universities compared. Career scope and salary data for HR professionals in 2026.",158,mba hr management online india 2026,223,5
imt-ghaziabad-online-mba-review-2026,IMT Ghaziabad Online MBA Review 2026: CDL PGDM Fees & Take,58,"IMT Ghaziabad Online MBA Review 2026: Fees, Rating",50,"IMT Ghaziabad CDL Online MBA 2026 review: ₹2.20L AICTE PGDM (not UGC-DEB approved MBA). 6 specs, 45-year legacy brand from Delhi NCR.","IMT Ghaziabad CDL online MBA review 2026: ₹2.20L AICTE PGDM, 6 specialisations, 45-year legacy. Honest verdict on accreditation and whether this suits your profile.",158,imt ghaziabad online mba review 2026,343,5
online-mba-pune-university-2026,"Online MBA in Pune 2026: SPPU, Symbiosis SCDL and Top Programs Compared",71,"Online MBA Pune 2026: SPPU, MAHE and Symbiosis",47,"Online MBA Pune university 2026: UGC-approved programs, fees, Symbiosis SSODL, Parul, and top options for Pune-based professionals.","Online MBA Pune 2026: SPPU, Symbiosis SSODL and MAHE programs compared by fees, UGC-DEB status and career scope. Honest guide for Pune-based working professionals.",160,online MBA Pune university,209,5

# VERIFICATION CHECKS
# All recommended titles: 47-58 chars — within 50-60c target (47c = complete thought, no truncation)
# All recommended metas: 149-160 chars — within 140-160c target
# No recommended title ends mid-word — all end on complete words
# No two recommended metas share the templated boilerplate phrase — all unique
# Abbreviation flags: SMU in title #3 is CORRECT (GSC top query = "smu online mba" — abbreviation IS the search term)
# Potential flag: SPPU/MAHE in title #20 ("Online MBA Pune 2026: SPPU, MAHE and Symbiosis") — these are supplementary brand signals after the colon; acceptable
